<INTEIRO , inteiro>
<DOISPONTOS , :>
<IDENTIFICADOR , n>
<INTEIRO , inteiro>
<DOISPONTOS , :>
<IDENTIFICADOR , b>
<INTEIRO , inteiro>
<IDENTIFICADOR , fat>
<ABREPAR , (>
<FLUTUANTE , flutuante>
<DOISPONTOS , :>
<IDENTIFICADOR , a>
<VIRGULA , ,>
<INTEIRO , inteiro>
<DOISPONTOS , :>
<IDENTIFICADOR , b>
<FECHAPAR , )>
<IDENTIFICADOR , a>
<ATRIBUICAO , :=>
<NUMERO , 10.5>
<FIM , fim>
<INTEIRO , inteiro>
<IDENTIFICADOR , fatorial>
<ABREPAR , (>
<INTEIRO , inteiro>
<DOISPONTOS , :>
<IDENTIFICADOR , n>
<FECHAPAR , )>
<INTEIRO , inteiro>
<DOISPONTOS , :>
<IDENTIFICADOR , fat>
<SE , se>
<IDENTIFICADOR , n>
<MAIOR , >>
<NUMERO , 0>
<ENTAO , então>
<COMENTARIO , {não calcula se n > 0}>
<IDENTIFICADOR , fat>
<ATRIBUICAO , :=>
<NUMERO , 1>
<REPITA , repita>
<IDENTIFICADOR , fat>
<ATRIBUICAO , :=>
<IDENTIFICADOR , fat>
<MULTIPLICACAO , *>
<IDENTIFICADOR , n>
<IDENTIFICADOR , n>
<ATRIBUICAO , :=>
<IDENTIFICADOR , n>
<SUBTRACAO , ->
<NUMERO , 1>
<ATE , até>
<IDENTIFICADOR , n>
<IGUALDADE , =>
<NUMERO , 0>
<RETORNA , retorna>
<ABREPAR , (>
<IDENTIFICADOR , fat>
<FECHAPAR , )>
<COMENTARIO , {retorna o valor do fatorial de n}>
<SENAO , senão>
<RETORNA , retorna>
<ABREPAR , (>
<NUMERO , 0>
<FECHAPAR , )>
<FIM , fim>
<FIM , fim>
<INTEIRO , inteiro>
<PRINCIPAL , principal>
<ABREPAR , (>
<FECHAPAR , )>
<LEIA , leia>
<ABREPAR , (>
<IDENTIFICADOR , n>
<FECHAPAR , )>
<ESCREVA , escreva>
<ABREPAR , (>
<IDENTIFICADOR , fatorial>
<ABREPAR , (>
<IDENTIFICADOR , n>
<FECHAPAR , )>
<FECHAPAR , )>
<ESCREVA , escreva>
<ABREPAR , (>
<IDENTIFICADOR , fat>
<ABREPAR , (>
<NUMERO , 1>
<VIRGULA , ,>
<NUMERO , 1>
<FECHAPAR , )>
<FECHAPAR , )>
<FIM , fim>
