<INTEIRO , inteiro>
<DOISPONTOS , :>
<IDENTIFICADOR , x>
<IDENTIFICADOR , x>
<ATRIBUICAO , :=>
<NUMERO , 10>
<SE , se>
<IDENTIFICADOR , x>
<MAIOR , >>
<NUMERO , 0>
<ENTAO , então>
<ESCREVA , escreva>
<ABREPAR , (>
<IDENTIFICADOR , x>
<FECHAPAR , )>
<SENAO , senão>
<ESCREVA , escreva>
<ABREPAR , (>
<IDENTIFICADOR , x>
<SOMA , +>
<NUMERO , 1>
<FECHAPAR , )>
<FIM , fim>
<INTEIRO , inteiro>
<PRINCIPAL , principal>
<ABREPAR , (>
<FECHAPAR , )>
<SE , se>
<IDENTIFICADOR , x>
<MAIOR , >>
<NUMERO , 10>
<ENTAO , então>
<ESCREVA , escreva>
<ABREPAR , (>
<IDENTIFICADOR , x>
<FECHAPAR , )>
<SENAO , senão>
<ESCREVA , escreva>
<ABREPAR , (>
<IDENTIFICADOR , x>
<SOMA , +>
<NUMERO , 1>
<FECHAPAR , )>
<FIM , fim>
